ID,Sample Site,Numeric Result,Formatted Result,Result Units,Latitude (Degrees),Longitude (Degrees),Sample Date,Parameter,Site Key
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,05/14/2003 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.015,0.015,mg/L,51.10122,-114.27975,05/27/2003 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.009,0.009,mg/L,51.10122,-114.27975,06/10/2003 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.006,0.006,mg/L,51.10122,-114.27975,06/24/2003 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.005,0.005,mg/L,51.10122,-114.27975,07/08/2003 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,07/22/2003 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,<0.003,mg/L,51.10122,-114.27975,08/12/2003 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,08/26/2003 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,<0.003,mg/L,51.10122,-114.27975,09/09/2003,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,10/07/2003 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,11/04/2003 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,12/02/2003,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.002,0.002,mg/L,51.10122,-114.27975,01/13/2004,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.002,<0.002,mg/L,51.10122,-114.27975,02/04/2004 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.002,<0.002,mg/L,51.10122,-114.27975,03/02/2004 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,04/08/2004 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.006,0.006,mg/L,51.10122,-114.27975,05/05/2004 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.005,0.005,mg/L,51.10122,-114.27975,06/02/2004 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.005,0.005,mg/L,51.10122,-114.27975,06/30/2004 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,07/28/2004 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.005,0.005,mg/L,51.10122,-114.27975,08/25/2004 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.002,0.002,mg/L,51.10122,-114.27975,09/23/2004,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,10/20/2004 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.002,<0.002,mg/L,51.10122,-114.27975,11/17/2004 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.002,<0.002,mg/L,51.10122,-114.27975,12/15/2004 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.002,0.002,mg/L,51.10122,-114.27975,01/12/2005,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,02/09/2005 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.01,0.01,mg/L,51.10122,-114.27975,03/09/2005 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.008,0.008,mg/L,51.10122,-114.27975,04/06/2005 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.009,0.009,mg/L,51.10122,-114.27975,05/04/2005,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.006,0.006,mg/L,51.10122,-114.27975,06/01/2005 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.137999997,0.138,mg/L,51.10122,-114.27975,06/29/2005 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.006,0.006,mg/L,51.10122,-114.27975,07/27/2005 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.006,0.006,mg/L,51.10122,-114.27975,08/24/2005 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.014,0.014,mg/L,51.10122,-114.27975,09/22/2005 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,10/19/2005 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,11/16/2005 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,12/14/2005 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,01/11/2006 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,02/08/2006,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,03/08/2006 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.007,0.007,mg/L,51.10122,-114.27975,04/05/2006 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.006,0.006,mg/L,51.10122,-114.27975,05/03/2006,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.008,0.008,mg/L,51.10122,-114.27975,05/31/2006 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.005,0.005,mg/L,51.10122,-114.27975,06/28/2006 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,07/26/2006,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,08/23/2006 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,09/20/2006,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,10/18/2006,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,11/15/2006 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,12/13/2006,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,01/10/2007 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,02/07/2007 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.007,0.007,mg/L,51.10122,-114.27975,03/07/2007,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,04/04/2007 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.006,0.006,mg/L,51.10122,-114.27975,05/02/2007,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.007,0.007,mg/L,51.10122,-114.27975,05/30/2007,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.014,0.014,mg/L,51.10122,-114.27975,06/27/2007,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.008,0.008,mg/L,51.10122,-114.27975,07/25/2007 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,08/22/2007 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,09/19/2007 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.002,0.002,mg/L,51.10122,-114.27975,10/17/2007 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,11/14/2007,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.002,0.002,mg/L,51.10122,-114.27975,12/12/2007,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,01/09/2008 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,02/06/2008,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.005,0.005,mg/L,51.10122,-114.27975,03/05/2008,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,04/02/2008 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.005,0.005,mg/L,51.10122,-114.27975,04/30/2008 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.072999999,0.073,mg/L,51.10122,-114.27975,05/28/2008 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.01,0.01,mg/L,51.10122,-114.27975,06/25/2008 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.006,0.006,mg/L,51.10122,-114.27975,07/23/2008 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,08/20/2008 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,09/17/2008,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.002,0.002,mg/L,51.10122,-114.27975,10/16/2008 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,11/12/2008,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,12/10/2008 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,01/07/2009 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.005,0.005,mg/L,51.10122,-114.27975,02/04/2009 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,03/04/2009 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.005,0.005,mg/L,51.10122,-114.27975,04/01/2009 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.005,0.005,mg/L,51.10122,-114.27975,04/29/2009 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.008,0.008,mg/L,51.10122,-114.27975,05/27/2009 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.008,0.008,mg/L,51.10122,-114.27975,06/24/2009 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,07/22/2009 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,08/19/2009 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.005,0.005,mg/L,51.10122,-114.27975,09/16/2009,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,10/14/2009 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,11/09/2009 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.009,0.009,mg/L,51.10122,-114.27975,12/10/2009 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.005,0.005,mg/L,51.10122,-114.27975,01/06/2010 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.005,0.005,mg/L,51.10122,-114.27975,02/03/2010 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.005,0.005,mg/L,51.10122,-114.27975,03/03/2010 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.005,0.005,mg/L,51.10122,-114.27975,03/31/2010 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.006,0.006,mg/L,51.10122,-114.27975,04/28/2010 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.007,0.007,mg/L,51.10122,-114.27975,05/26/2010 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.01,0.01,mg/L,51.10122,-114.27975,06/23/2010 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,07/21/2010 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,08/18/2010 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,09/15/2010 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,10/13/2010 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,11/10/2010,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.002,0.002,mg/L,51.10122,-114.27975,12/06/2010 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,01/19/2011 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,02/15/2011 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,03/22/2011 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.008,0.008,mg/L,51.10122,-114.27975,04/12/2011,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.007,0.007,mg/L,51.10122,-114.27975,05/10/2011 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.025,0.025,mg/L,51.10122,-114.27975,06/14/2011,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.007,0.007,mg/L,51.10122,-114.27975,07/12/2011,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.005,0.005,mg/L,51.10122,-114.27975,08/16/2011 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,09/15/2011,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.005,0.005,mg/L,51.10122,-114.27975,10/11/2011 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,11/15/2011,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,12/13/2011 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,01/10/2012 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,02/07/2012,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,03/06/2012,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.008,0.008,mg/L,51.10122,-114.27975,04/03/2012 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.008,0.008,mg/L,51.10122,-114.27975,05/08/2012 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.048999999,0.049,mg/L,51.10122,-114.27975,06/12/2012 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.01,0.01,mg/L,51.10122,-114.27975,07/10/2012,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.006,0.006,mg/L,51.10122,-114.27975,08/14/2012 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.005,0.005,mg/L,51.10122,-114.27975,09/12/2012,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,10/09/2012,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,11/06/2012,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.003,0.003,mg/L,51.10122,-114.27975,12/11/2012 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,01/15/2013 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.005,0.005,mg/L,51.10122,-114.27975,02/12/2013 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,03/12/2013 ,Total Phosphorus (TP),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.004,0.004,mg/L,51.10122,-114.27975,04/09/2013 ,Total Phosphorus (TP),SUR_BR-BD
